label,size,mean,median
.find() on random item array,100,0.033,0.012
.find() on all string array,100,0.0051,0.0050
.includes() on random item array,100,0.0026,0.0020
.includes() on all string array,100,0.0022,0.0020
lookup key in object,100,0.0028,0.0020
.find() on random item array,1000,0.024,0.023
.find() on all string array,1000,0.023,0.023
.includes() on random item array,1000,0.0057,0.0060
.includes() on all string array,1000,0.0041,0.0045
lookup key in object,1000,0.0017,0.0010
.find() on random item array,10000,0.18,0.18
.find() on all string array,10000,0.14,0.14
.includes() on random item array,10000,0.044,0.039
.includes() on all string array,10000,0.018,0.017
lookup key in object,10000,0.0036,0.0030
